"feature"	"metadata"	"effect_size"	"pval"	"qval"	"error"	"associations"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"AntibioticsYes"	NA	1	1	NA	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"consent_age"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"diagnosisCD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"diagnosisUC"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"dysbiosis_statedysbiosis_CD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"dysbiosis_statedysbiosis_nonIBD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"dysbiosis_statedysbiosis_UC"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB114|o__OFGB114|f__FGB114|g__GGB261|s__GGB261_SGB58821|t__SGB58821"	"reads_filtered"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"AntibioticsYes"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"consent_age"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"diagnosisCD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"diagnosisUC"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"dysbiosis_statedysbiosis_CD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"dysbiosis_statedysbiosis_nonIBD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"dysbiosis_statedysbiosis_UC"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB76095|o__OFGB76095|f__FGB76095|g__GGB260|s__GGB260_SGB362|t__SGB362"	"reads_filtered"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB269|s__GGB269_SGB376|t__SGB376"	"AntibioticsYes"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB269|s__GGB269_SGB376|t__SGB376"	"consent_age"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB269|s__GGB269_SGB376|t__SGB376"	"diagnosisCD"	NA	1	1	"sensitivity failed"	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB269|s__GGB269_SGB376|t__SGB376"	"diagnosisUC"	NA	1	1	NA	"abundance"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__GGB269|s__GGB269_SGB376|t__SGB376"	"dysbiosis_statedysbiosis_CD"	NA	1	1	"sensitivity failed"	"abundance"
